y_pred,ent idx,paper,title,venue,match_status
6,20754,https://dblp.org/rec/conf/amcc/0007AR21,Fast data based identification of thermal vehicle models for integrated powertrain control.,6,mismatch
21,20764,https://dblp.org/rec/conf/amcc/0010CBGJ21,Grid-Interactive Multi-Zone Building Control Using Reinforcement Learning with Global-Local Policy Search.,21,mismatch
6,20766,https://dblp.org/rec/conf/amcc/0016S20,Multilevel Data Integration with Application in Sensor Networks.,6,mismatch
6,20767,https://dblp.org/rec/conf/amcc/0016S21,Improved SPSA Using Complex Variables with Applications in Optimal Control Problems.,6,mismatch
6,20768,https://dblp.org/rec/conf/amcc/0018BT20,Continuous-time Signal Temporal Logic Planning with Control Barrier Functions.,6,mismatch
6,20770,https://dblp.org/rec/conf/amcc/0020FM21,Online Learning of Parameterized Uncertain Dynamical Environments with Finite-sample Guarantees.,6,mismatch
6,20778,https://dblp.org/rec/conf/amcc/0047S020,A dynamic optimization model for bus schedule design to mitigate the passenger waiting time by dispatching the bus platoon.,6,mismatch
6,20783,https://dblp.org/rec/conf/amcc/AarnoudseO21,Model-Free Learning for Massive MIMO Systems: Stochastic Approximation Adjoint Iterative Learning Control.,6,mismatch
6,20788,https://dblp.org/rec/conf/amcc/Abate021,Improving the Fidelity of Mixed-Monotone Reachable Set Approximations via State Transformations.,6,mismatch
28,20789,https://dblp.org/rec/conf/amcc/AbateK0F21,Pointwise-in-Time Analysis and Non-Quadratic Lyapunov Functions for Linear Time-Varying Systems.,28,mismatch
6,20790,https://dblp.org/rec/conf/amcc/AbateKCF20,Lyapunov Differential Equation Hierarchy and Polynomial Lyapunov Functions for Switched Linear Systems.,6,mismatch
12,20802,https://dblp.org/rec/conf/amcc/AbbasiBZISW20,Power-Preserving Interconnection of Single- and Two-Phase Flow Models for Managed Pressure Drilling.,12,mismatch
6,20817,https://dblp.org/rec/conf/amcc/AbdelwahabLY21,Covert Channels in Cyber-Physical Systems.,6,mismatch
21,20836,https://dblp.org/rec/conf/amcc/AbhishekS20,SIS Epidemic Model under Mobility on Multi-layer Networks.,21,mismatch
6,20838,https://dblp.org/rec/conf/amcc/AbhishekSM21,Towards a heterogeneous cable-connected team of UAVs for aerial manipulation.,6,mismatch
6,20843,https://dblp.org/rec/conf/amcc/AboudoniaML21,Passivity-based Decentralized Control for Discrete-time Large-scale Systems.,6,mismatch
6,20869,https://dblp.org/rec/conf/amcc/AcerneseYGV21,Model-free Self-triggered Control Co-design for Probabilistic Boolean Control Networks.,6,mismatch
6,20879,https://dblp.org/rec/conf/amcc/AcostaF21,Modelling and Control of Test-Scenarios for Validation of Autonomous Driving Functions.,6,mismatch
6,20898,https://dblp.org/rec/conf/amcc/AdibH21,Hybrid Control of Flowrate in Microextrusion-Based Direct-Write Additive Manufacturing.,6,mismatch
6,20901,https://dblp.org/rec/conf/amcc/AdinehvandLH21,Barrier-Lyapunov -Function-Based Backstepping Adaptive Hybrid Force/Position Control for Manipulator with Force and Position Constraints.,6,mismatch
21,20902,https://dblp.org/rec/conf/amcc/AdlakhaZ20,An Optimization-Based Iterative Learning Control Design Method for UAV's Trajectory Tracking.,21,mismatch
6,20928,https://dblp.org/rec/conf/amcc/AfzaliMIV21,Optimal Lighting Control in Greenhouses Equipped with High-intensity Discharge Lamps Using Reinforcement Learning.,6,mismatch
21,20936,https://dblp.org/rec/conf/amcc/AghajanT20,On Ergodicity of Time-Varying Distributed Averaging Dynamics.,21,mismatch
45,20965,https://dblp.org/rec/conf/amcc/AgyemanBSY0S21,Soil moisture map construction by sequential data assimilation using an extended Kalman filter.,45,mismatch
28,20967,https://dblp.org/rec/conf/amcc/AhmadSH21,APF-PF: Probabilistic Depth Perception for 3D Reactive Obstacle Avoidance.,28,mismatch
28,20974,https://dblp.org/rec/conf/amcc/AhmadiOIMA20,Risk-Averse Planning Under Uncertainty.,28,mismatch
6,21013,https://dblp.org/rec/conf/amcc/AjwadMDMC21,Leader-following consensus of second-order multi-agent systems with switching topology and partial aperiodic sampled data.,6,mismatch
6,21014,https://dblp.org/rec/conf/amcc/AjwadMDMC21a,Collision-free formation tracking of multi-agent systems under communication constraints.,6,mismatch
6,21026,https://dblp.org/rec/conf/amcc/AkhtarKE21,Learning for Control: An Inverse Optimization Approach.,6,mismatch
6,21028,https://dblp.org/rec/conf/amcc/AkhtarSW20,Feedback Linearizing Controllers on SO(3) using a Global Parametrization.,6,mismatch
6,21036,https://dblp.org/rec/conf/amcc/Al-AbriLN021,A Derivative-free Distributed Optimization Algorithm with Applications in Multi-Agent Target Tracking.,6,mismatch
6,21044,https://dblp.org/rec/conf/amcc/Al-MatouqAN20,Subspace Identification of a Glucose-Insulin model Using Meal Tracer Protocol Measurements.,6,mismatch
35,21046,https://dblp.org/rec/conf/amcc/Al-NadawiAKPSR20,Design of Robust Path-Following Control System for Self-driving Vehicles Using Extended High-Gain Observer.,35,mismatch
6,21048,https://dblp.org/rec/conf/amcc/Al-RawashdehAHJ21,Micro-Positioning End-Stage for Precise Multi-Axis Motion Control in Optical Lithography Machines: Preliminary Results.,6,mismatch
6,21053,https://dblp.org/rec/conf/amcc/Al-TawahaAA21,A Singular Value Thresholding Algorithm for Order Estimation.,6,mismatch
6,21059,https://dblp.org/rec/conf/amcc/AlamSBH21,A physics-guided reinforcement learning framework for an autonomous manufacturing system with expensive data.,6,mismatch
6,21073,https://dblp.org/rec/conf/amcc/AlbabaM20,Online Model-Based Beat-by-beat Heart Rate Estimation.,6,mismatch
28,21089,https://dblp.org/rec/conf/amcc/AldanaTNC21,Task Space Consensus of Heterogeneous Robots with Time-Delays and without Velocity Measurements.,28,mismatch
6,21144,https://dblp.org/rec/conf/amcc/AljehaniL21,Iterative Learning Based Modulating Functions Method for Distributed Solar Source Estimation.,6,mismatch
6,21154,https://dblp.org/rec/conf/amcc/AllenK20,Nonlinear Model Predictive Control Using Output Feedback.,6,mismatch
45,21159,https://dblp.org/rec/conf/amcc/AllikD21,Belief Propagation for Localization Using Inter-Agent Ranging in GPS Denied Environments.,45,mismatch
32,21174,https://dblp.org/rec/conf/amcc/AlqataminBHLM20,Self-Synchronizing Current Control for Single-Stage Three-Phase Grid-Connected Photovoltaic Systems.,32,mismatch
21,21179,https://dblp.org/rec/conf/amcc/AlrahmanBDPU21,Synthesis of Run-To-Completion Controllers for Discrete Event Systems.,21,mismatch
6,21198,https://dblp.org/rec/conf/amcc/AlvesP21,On the Reduction and Localization of Synchronizing Supervisors.,6,mismatch
45,21210,https://dblp.org/rec/conf/amcc/AmatyaSZ20,Human Learning and Coordination in Lower-limb Physical Interactions.,45,mismatch
21,21216,https://dblp.org/rec/conf/amcc/AminiA020,Dynamic Event-triggered Formation Control for Multi-agent Systems: A Co-design Optimization Approach.,21,mismatch
6,21219,https://dblp.org/rec/conf/amcc/AminiSM20,Approximate Optimal Control Design for a Class of Nonlinear Systems by Lifting Hamilton-Jacobi-Bellman Equation.,6,mismatch
6,21241,https://dblp.org/rec/conf/amcc/AnderssonBI20,Distributed learning for wind farm optimization with Gaussian processes.,6,mismatch
32,21256,https://dblp.org/rec/conf/amcc/AndroulakakisFS21,Optimal Engagement for an Attacker with Limited Weapon Energy.,32,mismatch
6,21257,https://dblp.org/rec/conf/amcc/AnevlavisLOT21,An enhanced hierarchy for (robust) controlled invariance.,6,mismatch
21,21269,https://dblp.org/rec/conf/amcc/AngelicoCPRP21,Source Seeking in Unknown Environments with Convex Obstacles.,21,mismatch
35,21309,https://dblp.org/rec/conf/amcc/AounSD20,Energy-Optimal Tours for Quadrotors to Scan Moth-Infested Trees in Densely-Packed Forests.,35,mismatch
6,21311,https://dblp.org/rec/conf/amcc/Apaza-PerezGCZ21,Symbolic observer-based controller for uncertain nonlinear systems.,6,mismatch
28,21315,https://dblp.org/rec/conf/amcc/ArabHY21,Safe Predictive Control of Four-Wheel Mobile Robot with Independent Steering and Drive.,28,mismatch
35,21316,https://dblp.org/rec/conf/amcc/ArabM20,Optimal Control of Wheeled Mobile Robots: From Simulation to Real World.,35,mismatch
45,21370,https://dblp.org/rec/conf/amcc/ArmentaDNHLD21,Computational reduction of optimal hybrid vehicle energy management.,45,mismatch
6,21372,https://dblp.org/rec/conf/amcc/ArmstrongA20,An Improved Iterative Learning Control for Uncertain Multi-Axis Systems.,6,mismatch
28,21386,https://dblp.org/rec/conf/amcc/ArthurY21,Robust Compensation of Uncertain Equilibrium in the Control of Dynamic Systems.,28,mismatch
28,21389,https://dblp.org/rec/conf/amcc/AryaTJ21,Spacecraft Payload Maximization Using Realistic Multi-Mode Models of Electric Propulsion Systems.,28,mismatch
28,21398,https://dblp.org/rec/conf/amcc/AsadiOYG21,Gaussian Process (GP)-based Learning Control of Selective Laser Melting Process.,28,mismatch
6,21438,https://dblp.org/rec/conf/amcc/AsukT21,Feedback Optimizing Linear Quadratic Control.,6,mismatch
21,21445,https://dblp.org/rec/conf/amcc/AtayBB20,Real-Time Power Optimization of a Bi-Modal Rolling-Flying Vehicle via Extremum Seeking Control.,21,mismatch
6,21463,https://dblp.org/rec/conf/amcc/AuriolAS20,Self-Tuning Torsional Drilling Model for Real-Time Applications.,6,mismatch
35,21468,https://dblp.org/rec/conf/amcc/AvantM20,Rigid Body Dynamics Estimation by Unscented Filtering Pose Estimation Neural Networks.,35,mismatch
7,21471,https://dblp.org/rec/conf/amcc/AvilaFHMCGPJ21,Game Balancing using Koopman-based Learning.,7,mismatch
28,21478,https://dblp.org/rec/conf/amcc/AwasthiL20,Inverse Differential Games With Mixed Inequality Constraints.,28,mismatch
21,21514,https://dblp.org/rec/conf/amcc/Babazadeh21,Regularization for Optimal Sparse Control Structures: A Primal-Dual Framework.,21,mismatch
21,21515,https://dblp.org/rec/conf/amcc/BabazadehRSA20,Robust Suboptimal Output Synchronization of Nonlinear Heterogeneous Agents.,21,mismatch
21,21532,https://dblp.org/rec/conf/amcc/BaeZTM20,Inducing Human Behavior to Alleviate Overstay at PEV Charging Station.,21,mismatch
6,21544,https://dblp.org/rec/conf/amcc/BahavarniaM20,Resilient Sparse Controller Design with Guaranteed Disturbance Attenuation.,6,mismatch
6,21545,https://dblp.org/rec/conf/amcc/BahavarniaSM20,Controller Synthesis subject to Logical and Structural Constraints: A Satisfiability Modulo Theories (SMT) Approach.,6,mismatch
6,21550,https://dblp.org/rec/conf/amcc/BahreinianAT21,Robust Path Planning and Control For Polygonal Environments via Linear Programming.,6,mismatch
21,21555,https://dblp.org/rec/conf/amcc/BaiBGVB21,Determining the Region of Influence of a Signalized Traffic Intersection by Analysis of Heavy-duty Diesel Vehicle Fuel Consumption.,21,mismatch
6,21568,https://dblp.org/rec/conf/amcc/BajajTB21,Competitive Perimeter Defense on a Line.,6,mismatch
6,21581,https://dblp.org/rec/conf/amcc/BakolasL21,Decentralized Game-Theoretic Control for Dynamic Task Allocation Problems for Multi-Agent Systems.,6,mismatch
28,21584,https://dblp.org/rec/conf/amcc/BakolasT20,Greedy Finite-Horizon Covariance Steering for Discrete-Time Stochastic Nonlinear Systems Based on the Unscented Transform.,28,mismatch
21,21592,https://dblp.org/rec/conf/amcc/BalakrishnanHBJ20,Prediction of fitness in bacteria with causal jump dynamic mode decomposition.,21,mismatch
28,21614,https://dblp.org/rec/conf/amcc/BaldiniAM20,Learning Pose Estimation for UAV Autonomous Navigation and Landing Using Visual-Inertial Sensor Data.,28,mismatch
6,21642,https://dblp.org/rec/conf/amcc/BansalYGM21,Storage Degradation Aware Economic Dispatch.,6,mismatch
32,21653,https://dblp.org/rec/conf/amcc/BarabanSKK20,Adaptive Parameter Estimation for Aerial Manipulation.,32,mismatch
21,21681,https://dblp.org/rec/conf/amcc/BardawilDS20,Applying the Similarity Method on Pacejka's Magic Formula to Estimate the Maximum Longitudinal Tire-Road Friction Coefficient.,21,mismatch
33,21685,https://dblp.org/rec/conf/amcc/BarkerAK20,Resilient Autonomous Wind Farms.,33,mismatch
28,21698,https://dblp.org/rec/conf/amcc/BarrattB20,Fitting a Kalman Smoother to Data.,28,mismatch
6,21703,https://dblp.org/rec/conf/amcc/BarrosBT21,On the Use of the Smith-McMillan Form in Decoupling System Dynamics.,6,mismatch
6,21724,https://dblp.org/rec/conf/amcc/BascoD20,A two-player game representation for a class of infinite horizon control problems under state constraints.,6,mismatch
6,21756,https://dblp.org/rec/conf/amcc/BassoSPS21,Global Asymptotic Tracking for Marine Surface Vehicles using Hybrid Feedback in the Presence of Parametric Uncertainties.,6,mismatch
21,21757,https://dblp.org/rec/conf/amcc/Bastani21,Safe Reinforcement Learning with Nonlinear Dynamics via Model Predictive Shielding.,21,mismatch
28,21766,https://dblp.org/rec/conf/amcc/Batista20,Navigation and source localization based on single pseudo-ranges.,28,mismatch
21,21774,https://dblp.org/rec/conf/amcc/BattagelloSA21,Trajectory planning with a dynamic obstacle clustering strategy using Mixed-Integer Linear Programming.,21,mismatch
6,21775,https://dblp.org/rec/conf/amcc/BattilottiCDGS20,LQ non-Gaussian Control with I/O packet losses.,6,mismatch
6,21817,https://dblp.org/rec/conf/amcc/BeaverDKM21,Energy-Optimal Motion Planning for Agents: Barycentric Motion and Collision Avoidance Constraints.,6,mismatch
48,21827,https://dblp.org/rec/conf/amcc/BediKRS20,Trading Dynamic Regret for Model Complexity in Nonstationary Nonparametric Optimization.,48,mismatch
35,21856,https://dblp.org/rec/conf/amcc/BekirogluTASCN20,Hankel-based Unsupervised Anomaly Detection.,35,mismatch
6,21860,https://dblp.org/rec/conf/amcc/BelfoAL21,Distributed inverse optimal control for discrete-time nonlinear multi-agent systems.,6,mismatch
6,21917,https://dblp.org/rec/conf/amcc/Berkane21,Navigation in Unknown Environments Using Safety Velocity Cones.,6,mismatch
6,21929,https://dblp.org/rec/conf/amcc/BernardMM21,On the semi-global stability of an EK-like Filter.,6,mismatch
28,21937,https://dblp.org/rec/conf/amcc/BerningLGLPK20,Spacecraft Relative Motion Planning Using Chained Chance-Constrained Admissible Sets.,28,mismatch
21,21953,https://dblp.org/rec/conf/amcc/BerntorpQV21,Joint Tire-Stiffness and Vehicle-Inertial Parameter Estimation for Improved Predictive Control.,21,mismatch
28,21957,https://dblp.org/rec/conf/amcc/BertinoNK21,Experimental and Analytical Delay-Adaptive Control of a 7-DOF Robot Manipulator.,28,mismatch
28,21979,https://dblp.org/rec/conf/amcc/BhadrirajuKK21,Dynamic risk-based fault prediction of chemical processes using online sparse model identification.,28,mismatch
35,22000,https://dblp.org/rec/conf/amcc/BhattacharyyaSB20,Online Parameter Estimation for Human Driver Behavior Prediction.,35,mismatch
6,22005,https://dblp.org/rec/conf/amcc/BhowmickJ20,Availability-Resilient Control of Uncertain Linear Stochastic Networked Control Systems.,6,mismatch
29,22006,https://dblp.org/rec/conf/amcc/BhowmickP21,Influence of Opinion Dynamics to Inhibit Epidemic Spreading over Multiplex Network.,29,mismatch
6,22009,https://dblp.org/rec/conf/amcc/BhusalS21,Generalized Polynomial Chaos-based Ensemble Kalman Filtering for Orbit Estimation.,6,mismatch
6,22010,https://dblp.org/rec/conf/amcc/BhusalTS20,On the Phase Margin of Networked Dynamical Systems and Fabricated Attacks of an Intruder.,6,mismatch
6,22011,https://dblp.org/rec/conf/amcc/BiB21,On the Role of Asymptomatic Carriers in Epidemic Spread Processes.,6,mismatch
45,22013,https://dblp.org/rec/conf/amcc/BiagioniG0ZBK21,Learning-Accelerated ADMM for Distributed DC Optimal Power Flow.,45,mismatch
6,22042,https://dblp.org/rec/conf/amcc/BiroonAP21,Measurement Unknown Delay Estimation in Cyber-Physical Systems: a PDE approach.,6,mismatch
28,22058,https://dblp.org/rec/conf/amcc/BizyaevaMFL21,Patterns of Nonlinear Opinion Formation on Networks.,28,mismatch
28,22142,https://dblp.org/rec/conf/amcc/BonczekB21,Detection of Hidden Attacks on Cyber-Physical Systems from Serial Magnitude and Sign Randomness Inconsistencies.,28,mismatch
28,22148,https://dblp.org/rec/conf/amcc/Bonzanini0C21,Perception-Aware Chance-Constrained Model Predictive Control for Uncertain Environments.,28,mismatch
28,22186,https://dblp.org/rec/conf/amcc/BorrelloH20,Oxygen ratio control in critical care ventilation using compressed oxygen and blower gas sources.,28,mismatch
28,22201,https://dblp.org/rec/conf/amcc/BossAS21,Towards multi-body multi-rotors for long reach manipulation.,28,mismatch
6,22210,https://dblp.org/rec/conf/amcc/BouhadjraABBZ21,Modeling and Estimation of Amnioserosa Cell Mechanical Behavior Using Moving Horizon Estimation.,6,mismatch
28,22274,https://dblp.org/rec/conf/amcc/BrewerTLP21,Falsification-based Verification for Multi-Mode Spacecraft Attitude Control Systems.,28,mismatch
6,22287,https://dblp.org/rec/conf/amcc/BrionesRS21,Generalized Predictive PI Controller: Analysis and Design for Time Delay Systems.,6,mismatch
28,22288,https://dblp.org/rec/conf/amcc/BrissonneauHTS21,Biologically-Inspired Impedance Control With Hysteretic Damping.,28,mismatch
6,22304,https://dblp.org/rec/conf/amcc/Brown21,When Altruism is Worse than Anarchy in Nonatomic Congestion Games.,6,mismatch
21,22323,https://dblp.org/rec/conf/amcc/BrunoMKA21,Analog Solver for Embedded Model Predictive Control with Application to Quadruple Tank System.,21,mismatch
28,22330,https://dblp.org/rec/conf/amcc/BucchioniI20,Open Loop Safe Trajectory Design for Cislunar NRHO Rendezvous.,28,mismatch
6,22331,https://dblp.org/rec/conf/amcc/BucciarelliPDV20,On the greedy placement of energy storage systems in distribution grids.,6,mismatch
6,22333,https://dblp.org/rec/conf/amcc/BuchS20,Finite Horizon Robust Synthesis.,6,mismatch
6,22346,https://dblp.org/rec/conf/amcc/BujarbaruahRSB21,A Simple Robust MPC for Linear Systems with Parametric and Additive Uncertainty.,6,mismatch
6,22360,https://dblp.org/rec/conf/amcc/BurkhardtS21,A graph-based path planning algorithm for the control of tower cranes.,6,mismatch
21,22372,https://dblp.org/rec/conf/amcc/BurnwalV20,Exact Completion of Rectangular Matrices Using Ramanujan Bigraphs.,21,mismatch
6,22396,https://dblp.org/rec/conf/amcc/CKL21,Dynamics and Control of a Flapping Wing UAV with Abdomen Undulation Inspired by Monarch Butterfly.,6,mismatch
6,22423,https://dblp.org/rec/conf/amcc/CaiP0GK21,Receding Horizon Control Based Motion Planning with Partially Infeasible LTL Constrains.,6,mismatch
21,22433,https://dblp.org/rec/conf/amcc/CaiZ20,Predictive Control of Building Thermal Loads for Participation in Energy and Regulation Markets.,21,mismatch
6,22467,https://dblp.org/rec/conf/amcc/CaluyaH20,Finite Horizon Density Steering for Multi-input State Feedback Linearizable Systems.,6,mismatch
6,22470,https://dblp.org/rec/conf/amcc/Calvo-FullanaCP21,Towards Safe Continuing Task Reinforcement Learning.,6,mismatch
28,22471,https://dblp.org/rec/conf/amcc/CalzolariSA21,PD-like Regulation of Mechanical Systems with Prescribed Bounds of Exponential Stability: the Point-to-Point Case.,28,mismatch
6,22498,https://dblp.org/rec/conf/amcc/CamposV20,Observability Notions for CSVIU and Stability in Connection with Some Norms.,6,mismatch
6,22541,https://dblp.org/rec/conf/amcc/CaoQ21,Finite-time Controllers for a Class of Planar Nonlinear Systems with Mismatched Disturbances.,6,mismatch
28,22556,https://dblp.org/rec/conf/amcc/CapitoWOR21,A Modeled Approach for Online Adversarial Test of Operational Vehicle Safety.,28,mismatch
28,22558,https://dblp.org/rec/conf/amcc/CaponeH20,Anticipating the long-term effect of online learning in control.,28,mismatch
6,22583,https://dblp.org/rec/conf/amcc/CasauCS20,Improved Maneuverability for Multirotor Aerial Vehicles using Globally Stabilizing Feedbacks.,6,mismatch
6,22593,https://dblp.org/rec/conf/amcc/CasavolaTV20,Full-Car Multivariable Control Strategies for Energy Harvesting by Regenerative Suspension Systems.,6,mismatch
28,22606,https://dblp.org/rec/conf/amcc/CastellanoBM21,"Learning to be safe, in finite time.",28,mismatch
6,22626,https://dblp.org/rec/conf/amcc/CavraroBCZ20,Distributed Minimization of the Power Generation Cost in Prosumer-Based Distribution Networks.,6,mismatch
6,22679,https://dblp.org/rec/conf/amcc/ChakrabartiGC21,Robustness of Iteratively Pre-Conditioned Gradient-Descent Method: The Case of Distributed Linear Regression Problem.,6,mismatch
6,22721,https://dblp.org/rec/conf/amcc/Chan-ZhengBS21,Tuning Rules for a Class of Passivity-Based Controllers for Mechanical Systems.,6,mismatch
6,22730,https://dblp.org/rec/conf/amcc/ChandanPM20,When showing your hand pays off: Announcing strategic intentions in Colonel Blotto games.,6,mismatch
35,22759,https://dblp.org/rec/conf/amcc/ChangJS20,An Active Perception Approach for Mid-Water Localization of Autonomous Underwater Vehicles.,35,mismatch
6,22761,https://dblp.org/rec/conf/amcc/ChangNLA21,Comparison of Two Optimization-Based Controllers for Feature Tracking SPM Scanning in Dual-Stage Nanopositioners.,6,mismatch
6,22765,https://dblp.org/rec/conf/amcc/ChangS21,Distributed Online Linear Quadratic Control for Linear Time-invariant Systems.,6,mismatch
6,22766,https://dblp.org/rec/conf/amcc/ChangSA20,Stochastic Resource Allocation for Electricity Distribution Network Resilience.,6,mismatch
28,22767,https://dblp.org/rec/conf/amcc/ChangSZWSH21,Collaborative Target Tracking in Elliptic Coordinates: a Binocular Coordination Approach.,28,mismatch
28,22831,https://dblp.org/rec/conf/amcc/Chen0Z21,Deep Iterative Learning Control for Quadrotor's Trajectory Tracking.,28,mismatch
21,22842,https://dblp.org/rec/conf/amcc/ChenB20,Data-Driven Linear Parameter-Varying Modeling and Control of Flexible Loads for Grid Services.,21,mismatch
32,22844,https://dblp.org/rec/conf/amcc/ChenBDM20,Model-Free Primal-Dual Methods for Network Optimization with Application to Real-Time Optimal Power Flow.,32,mismatch
6,22849,https://dblp.org/rec/conf/amcc/ChenBT20,Enthalpy-based Output Feedback Control of the Stefan Problem with Hysteresis.,6,mismatch
6,22850,https://dblp.org/rec/conf/amcc/ChenBT21,Feedback Control of the One-Phase Stefan Problem with Unknown Boundary Input Hysteresis.,6,mismatch
28,22856,https://dblp.org/rec/conf/amcc/ChenCLXJS20,Diagnosis of Nonlinearity-induced Oscillations in Process Control Loops Based on Adaptive Chirp Mode Decomposition.,28,mismatch
28,22866,https://dblp.org/rec/conf/amcc/ChenDBM21,Accelerating Optimization and Reinforcement Learning with Quasi Stochastic Approximation.,28,mismatch
45,22871,https://dblp.org/rec/conf/amcc/ChenF20,A new-designed non-raster scan and precision control for increasing AFM imaging speed.,45,mismatch
6,22872,https://dblp.org/rec/conf/amcc/ChenF20a,Decentralised Collaborative and Formation Iterative Learning Control for Multi-Agent Systems.,6,mismatch
35,22900,https://dblp.org/rec/conf/amcc/ChenJWL20,Autonomous Driving using Safe Reinforcement Learning by Incorporating a Regret-based Human Lane-Changing Decision Model.,35,mismatch
6,22917,https://dblp.org/rec/conf/amcc/ChenL20,Exponential Stability of Primal-Dual Gradient Dynamics with Non-Strong Convexity.,6,mismatch
28,22926,https://dblp.org/rec/conf/amcc/ChenLT20,Navigation Functions with non-Point Destinations and Moving Obstacles.,28,mismatch
6,22927,https://dblp.org/rec/conf/amcc/ChenLTWW20,MPC-based Vibration Control and Energy Harvesting Using an Electromagnetic Vibration Absorber With Inertia Nonlinearity.,6,mismatch
6,22957,https://dblp.org/rec/conf/amcc/ChenSA20,Density Functions for Guaranteed Safety on Robotic Systems.,6,mismatch
6,22962,https://dblp.org/rec/conf/amcc/ChenSJA21,Online decentralized decision making with inequality constraints: An ADMM approach.,6,mismatch
28,22965,https://dblp.org/rec/conf/amcc/ChenSZHSSY20,Theoretical Exploration of Irrigation Control for Stem Water Potential through Model Predictive Control.,28,mismatch
21,22987,https://dblp.org/rec/conf/amcc/ChenWC21,Cyber-Security of Decentralized and Distributed Control Architectures with Machine-Learning Detectors for Nonlinear Processes.,21,mismatch
6,23002,https://dblp.org/rec/conf/amcc/ChenYK20,Regulator Design for a Congested Continuum Traffic Model with App-Routing Instability.,6,mismatch
35,23007,https://dblp.org/rec/conf/amcc/ChenZ20,High-speed large-range dynamic-mode atomic force microscope imaging: Adaptive tapping approach via Field Programmable Gate Array.,35,mismatch
21,23010,https://dblp.org/rec/conf/amcc/ChenZS20,Fast Adaptation of Thermal Dynamics Model for Predictive Control of HVAC and Natural Ventilation Using Transfer Learning with Deep Neural Networks.,21,mismatch
45,23063,https://dblp.org/rec/conf/amcc/ChhokraHDK20,A Binary Decision Diagram Based Cascade Prognostics Scheme For Power Systems.,45,mismatch
21,23079,https://dblp.org/rec/conf/amcc/ChinelatoA21,Robust Exponential Control Barrier Functions for Safety-Critical Control.,21,mismatch
6,23089,https://dblp.org/rec/conf/amcc/Cho21,Nonlinear Optimal Missile Guidance for Stationary Target Interception with Pendulum Motion Perspective.,6,mismatch
45,23097,https://dblp.org/rec/conf/amcc/Choi20,Evaluation of Backward Differentiation Methods for Computing Controllability Gramians.,45,mismatch
32,23107,https://dblp.org/rec/conf/amcc/ChoiK20,Multiscale modeling and control of fiber length in pulp digester.,32,mismatch
6,23112,https://dblp.org/rec/conf/amcc/ChoiSK21,Inferential model predictive control of blow-line fiber morphology in a continuous pulp digester via multiscale modeling.,6,mismatch
21,23144,https://dblp.org/rec/conf/amcc/ChuLA20,A Novel Strategy for Stabilization Control of a Planar Three-Link Underactuated Manipulator with a Passive First Joint.,21,mismatch
21,23158,https://dblp.org/rec/conf/amcc/ChuZBYC21,Risk-Aware Path Planning with Uncertain Human Interactions.,21,mismatch
28,23192,https://dblp.org/rec/conf/amcc/ClassensHWRW21,Real-Time Nonlinear Tracking Control of Photopolymerization for Additive Manufacturing.,28,mismatch
6,23218,https://dblp.org/rec/conf/amcc/CoffmanBB21,Control-oriented modeling of TCLs.,6,mismatch
